Lipids,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
SM(d18:1/18:0)/SM(d16:1/20:0),(F 4s2-) - (M 4s2-),-0.15699226377158565,0.20130923306756796,15,-0.7798562508997904,0.8032216762948563,0.4476067554781139,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9997606962792618
SM(d18:1/18:0)/SM(d16:1/20:0),(F 4s2-) - F 4s2M,-0.12576410997871576,0.16230069241030387,15,-0.7748833853448888,0.8032216762948563,0.4504517970805071,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9997606962792618
SM(d18:1/18:0)/SM(d16:1/20:0),(F 4s2-) - M 4s2M,-0.2565944321067563,0.20130923306756798,15,-1.2746282333738377,0.8032216762948563,0.22183297007006872,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9997606962792618
SM(d18:1/18:0)/SM(d16:1/20:0),(M 4s2-) - F 4s2M,0.031228153792869903,0.2062805799976455,15,0.15138678489863827,0.8816878464022664,0.8816878464022664,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9997606962792618
SM(d18:1/18:0)/SM(d16:1/20:0),(M 4s2-) - M 4s2M,-0.09960216833517067,0.2381922967804655,15,-0.41815864610840425,0.8181073162855002,0.6817560969045835,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9997606962792618
SM(d18:1/18:0)/SM(d16:1/20:0),F 4s2M - M 4s2M,-0.13083032212804058,0.2062805799976455,15,-0.6342347986879515,0.8032216762948563,0.5354811175299042,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9997606962792618
PC(38:6),(F 4s2-) - (M 4s2-),0.20199283596824383,0.1882721638773691,15,1.0728767960611092,0.7332221231215914,0.30028421865302063,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9997606962792618
PC(38:6),(F 4s2-) - F 4s2M,-0.0970210401543675,0.15178987120092535,15,-0.639179935965161,0.7332221231215914,0.5323461550796906,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9997606962792618
PC(38:6),(F 4s2-) - M 4s2M,0.0031944629054754814,0.18827216387736914,15,0.01696726079781072,0.98668636451496,0.98668636451496,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9997606962792618
PC(38:6),(M 4s2-) - F 4s2M,-0.2990138761226113,0.19292155938520786,15,-1.5499246277891015,0.7332221231215914,0.14199799615382205,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9997606962792618
PC(38:6),(M 4s2-) - M 4s2M,-0.19879837306276835,0.22276662848706424,15,-0.8924064363361871,0.7332221231215914,0.3862679214204935,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9997606962792618
PC(38:6),F 4s2M - M 4s2M,0.10021550305984298,0.19292155938520786,15,0.519462435298597,0.7332221231215914,0.6110184359346595,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9997606962792618
SM(d18:0/22:0),(F 4s2-) - (M 4s2-),-0.25601368922769546,0.4897902688355872,15,-0.5227006445765752,0.7363107056060073,0.6088171192617255,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9997606962792618
SM(d18:0/22:0),(F 4s2-) - F 4s2M,0.39111616191051957,0.3948815389960943,15,0.9904645400867627,0.7363107056060073,0.33765640662192486,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9997606962792618
SM(d18:0/22:0),(F 4s2-) - M 4s2M,0.04283915468284022,0.48979026883558724,15,0.0874642829974649,0.9314594374301559,0.9314594374301559,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9997606962792618
SM(d18:0/22:0),(M 4s2-) - F 4s2M,0.6471298511382151,0.5018856770404378,15,1.289396929902972,0.7363107056060073,0.2167885259485539,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9997606962792618
SM(d18:0/22:0),(M 4s2-) - M 4s2M,0.2988528439105357,0.5795276614834287,15,0.5156834846253171,0.7363107056060073,0.6135922546716728,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9997606962792618
SM(d18:0/22:0),F 4s2M - M 4s2M,-0.34827700722767935,0.5018856770404378,15,-0.6939369325728297,0.7363107056060073,0.498328538929634,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9997606962792618
PC(36:4),(F 4s2-) - (M 4s2-),-0.06572549568219753,0.14004858096553274,15,-0.4693049742387121,0.6477712572306892,0.6456006359877227,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9997606962792618
PC(36:4),(F 4s2-) - F 4s2M,0.05359833671444675,0.11291077570275833,15,0.4746963819958716,0.6477712572306892,0.6418406504800457,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9997606962792618
PC(36:4),(F 4s2-) - M 4s2M,-0.14297827823257547,0.14004858096553277,15,-1.0209191499609962,0.6477712572306892,0.3234771123755147,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9997606962792618
PC(36:4),(M 4s2-) - F 4s2M,0.11932383239664428,0.14350709139963205,15,0.831483874649488,0.6477712572306892,0.4187404638477129,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9997606962792618
PC(36:4),(M 4s2-) - M 4s2M,-0.07725278255037796,0.16570771570039558,15,-0.4661990675802523,0.6477712572306892,0.6477712572306892,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9997606962792618
PC(36:4),F 4s2M - M 4s2M,-0.19657661494702222,0.14350709139963205,15,-1.3698041889763104,0.6477712572306892,0.19090543341141772,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9997606962792618
SM(d18:1/16:0),(F 4s2-) - (M 4s2-),0.10410299960944276,0.3150937124375183,15,0.3303874228530851,0.980302888934093,0.7456767458326916,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9997606962792618
SM(d18:1/16:0),(F 4s2-) - F 4s2M,-0.035912864841392125,0.2540366724539538,15,-0.14136882086542693,0.980302888934093,0.8894597141459033,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9997606962792618
SM(d18:1/16:0),(F 4s2-) - M 4s2M,0.11346239489845658,0.3150937124375183,15,0.36009095205590835,0.980302888934093,0.7237990006159843,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9997606962792618
SM(d18:1/16:0),(M 4s2-) - F 4s2M,-0.1400158644508349,0.3228749758010682,15,-0.4336535035068879,0.980302888934093,0.6707120676376863,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9997606962792618
SM(d18:1/16:0),(M 4s2-) - M 4s2M,0.009359395289013816,0.3728239083866812,15,0.02510406408621881,0.980302888934093,0.980302888934093,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9997606962792618
SM(d18:1/16:0),F 4s2M - M 4s2M,0.1493752597398487,0.3228749758010682,15,0.462641179822752,0.980302888934093,0.6502618170618938,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9997606962792618
PE(18:0_20:4),(F 4s2-) - (M 4s2-),-0.04998682410881573,0.20917126111438153,15,-0.2389755831776591,0.9102942051216951,0.8143588573972219,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9997606962792618
PE(18:0_20:4),(F 4s2-) - F 4s2M,-0.025427155208939043,0.1686392620640802,15,-0.15077838279010694,0.9102942051216951,0.8821594909788798,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9997606962792618
PE(18:0_20:4),(F 4s2-) - M 4s2M,-0.09228956022688645,0.20917126111438158,15,-0.44121529762360395,0.9102942051216951,0.6653505154705022,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9997606962792618
